Offset(P)            #Ptr   #Hnd Access Name
------------------ ------ ------ ------ ----
0x0000000009432dc0      7      0 R--r-d \Device\HarddiskVolume2\Windows\System32\user32.dll
0x000000000984fa70      5      0 R--r-d \Device\HarddiskVolume2\Windows\System32\wer.dll
0x0000000009f17070      1      1 R--r-d \Device\HarddiskVolume2\Windows\System32\fr-FR\KernelBase.dll.mui
0x0000000009f171c0     16      0 ------ \Device\HarddiskVolume2\Windows\System32\C_852.NLS
0x000000000a73f230     16      0 R--rwd \Device\HarddiskVolume2\Windows\System32\uxtheme.dll
0x000000000a73f380     13      0 R--r-d \Device\HarddiskVolume2\Users\Jean\Desktop\DumpIt.exe
0x000000000b241c70      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\profsvc.dll
0x000000000c240070      7      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\shlwapi.dll
0x000000000c240230     15      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\difxapi.dll
0x000000000ce5d070      4      0 R--r-d \Device\HarddiskVolume2\Windows\System32\netlogon.dll
0x000000000cf2a3e0      4      0 RW-rwd \Device\HarddiskVolume1\$MftMirr
0x000000000cf55070     16      0 R--rwd \Device\HarddiskVolume2\Windows\SysWOW64\sspicli.dll
0x000000000cf55470      2      0 R--rw- \Device\HarddiskVolume2\Users\Jean\AppData\Roaming\WinRAR\version.dat
0x000000000cf559d0      9      0 R--r-d \Device\HarddiskVolume2\Windows\System32\win32spl.dll
0x000000000d031110      2      1 ------ \Device\Afd\Endpoint
0x000000000d943520     16      0 R--rwd \Device\HarddiskVolume2\Windows\SysWOW64\advapi32.dll
0x000000000e6587d0      6      0 R--r-d \Device\HarddiskVolume2\Windows\System32\diagperf.dll
0x000000000ef36320     12      0 R--r-d \Device\HarddiskVolume2\Windows\System32\wbem\WmiPrvSD.dll
0x000000000f559350      1      1 R--r-d \Device\HarddiskVolume2\Windows\Fonts\StaticCache.dat
0x000000000f77f530     12      0 R--r-d \Device\HarddiskVolume2\Windows\System32\wdiasqmmodule.dll
0x0000000011145c10     15      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\wintrust.dll
0x000000001137b510      2      1 RW-r-- \Device\HarddiskVolume2\Users\Jean\AppData\Local\Microsoft\Windows\UsrClass.dat{b381ea73-3823-11ed-90bc-080027915912}.TMContainer00000000000000000001.regtrans-ms
0x000000001137b880      2      1 RW-r-- \Device\clfsTxfLog
0x0000000011516e00      2      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000001175c2b0      6      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\msctf.dll
0x000000001175c400     10      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\cryptbase.dll
0x000000001175c700      5      0 R--r-d \Device\HarddiskVolume2\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_5.82.7601.17514_none_a4d6a923711520a9\comctl32.dll
0x00000000119bdc20     16      0 R--rwd \Device\HarddiskVolume2\Windows\System32\RpcRtRemote.dll
0x0000000011a11590     15      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\devobj.dll
0x0000000011b7c190      2      1 ------ \Device\Afd\Endpoint
0x0000000011da28a0     15      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\KernelBase.dll
0x0000000012478580      5      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\usp10.dll
0x0000000012478aa0     15      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\comctl32.dll
0x0000000012bed320     33      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x0000000013081990      4      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x0000000013081c40      7      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\sspicli.dll
0x00000000132bb820      1      1 ------ \Device\HarddiskVolume2\Windows\bootstat.dat
0x00000000133e4850      4      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x00000000133e4980      4      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000001348cdf0      1      1 RW-rwd \Device\HarddiskVolume2\Users\Jean\AppData\Local\Microsoft\Windows\Explorer\thumbcache_1024.db
0x0000000013521820      1      1 RW---- \Device\HarddiskVolume2\Windows\System32\config\SECURITY
0x0000000013521bd0      1      1 RW---- \Device\HarddiskVolume2\Windows\System32\config\SECURITY.LOG2
0x0000000013521d30     16      0 R--rwd \Device\HarddiskVolume2\Windows\SysWOW64\msvcrt.dll
0x0000000013bba890      2      1 ------ \Device\Afd\Endpoint
0x0000000013bbadc0      9      0 R--r-d \Device\HarddiskVolume2\Windows\System32\comdlg32.dll
0x00000000149bb600     15      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\imagehlp.dll
0x00000000149bb900     15      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\msasn1.dll
0x0000000014bbb300      1      1 ------ \Device\NamedPipe\ProtectedPrefix\Administrators
0x0000000014bbbc00      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\msctf.dll
0x0000000014cb96a0     18      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x0000000014cb96a0     18      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x00000000155982c0     15      0 R--r-d \Device\HarddiskVolume2\Windows\System32\comctl32.dll
0x0000000015598d40      2      1 R--rwd \Device\HarddiskVolume2\Users\Jean\AppData\Roaming\Microsoft\Windows\Printer Shortcuts
0x0000000015a2fa70      8      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\sechost.dll
0x0000000015a2fd70     15      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\Wldap32.dll
0x0000000015bb73e0     16      0 R--r-- \Device\HarddiskVolume2\Windows\winsxs\Manifests\x86_microsoft.windows.isolationautomation_6595b64144ccf1df_1.0.0.0_none_35d357a66c38ade4.manifest
0x0000000015bb7530     33      1 RW-r-- \Device\HarddiskVolume2\Windows\System32\winevt\Logs\System.evtx
0x0000000015bb7a30      5      0 R--r-d \Device\HarddiskVolume2\Windows\System32\wevtsvc.dll
0x0000000016260110     13      0 R--r-d \Device\HarddiskVolume2\Windows\System32\wbem\wbemess.dll
0x0000000016dfb3f0      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\sxssrv.dll
0x0000000016eded40      1      1 R--r-d \Device\HarddiskVolume2\Windows\System32\fr-FR\KernelBase.dll.mui
0x000000001704a520     13      0 R--r-d \Device\HarddiskVolume2\Windows\System32\taskhost.exe
0x000000001704a760     13      0 R--r-d \Device\HarddiskVolume2\Windows\System32\clbcatq.dll
0x000000001704aa90     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\shlwapi.dll
0x0000000017177360     13      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\setupapi.dll
0x0000000017177660      9      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\iertutil.dll
0x0000000017249f20      2      1 RW-r-- \Device\HarddiskVolume2\Windows\System32\config\TxR\{016888cd-6c6f-11de-8d1d-001e0bcde3ec}.TM.blf
0x00000000177e73d0     14      0 R--r-- \Device\HarddiskVolume2\Windows\Fonts\lucon.ttf
0x00000000177e7bf0     11      0 R--r-d \Device\HarddiskVolume2\Windows\System32\linkinfo.dll
0x00000000177e7f20     16      0 R--rwd \Device\HarddiskVolume2\Users\Jean\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\desktop.ini
0x0000000017eb3070      1      1 R--rw- \Device\HarddiskVolume2\Windows
0x000000001ba1b7c0      1      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000001ba1bb20      2      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000001d74ba50     16      0 ------ \Device\HarddiskVolume2\Windows\System32\C_874.NLS
0x000000001d7cc780     12      0 R--r-d \Device\HarddiskVolume2\Windows\System32\umb.dll
0x000000001d7fff20     18      1 RW-r-- \Device\HarddiskVolume2\Windows\System32\winevt\Logs\HardwareEvents.evtx
0x000000001d8ab880      1      1 R--rw- \Device\HarddiskVolume2\Windows\System32
0x000000001dbe6f20     12      0 R--r-d \Device\HarddiskVolume2\Windows\System32\EhStorShell.dll
0x000000001dd11070     16      0 ------ \Device\HarddiskVolume2\Windows\System32\C_1253.NLS
0x000000001dd30a20      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac
0x000000001dd5d8f0     13      0 R--rw- \Device\HarddiskVolume2\Program Files\WinRAR\winrar.lng
0x000000001dd5da40      7      0 R--r-d \Device\HarddiskVolume2\Windows\explorer.exe
0x000000001de2a050      1      1 RWD--- \Device\HarddiskVolume2\Windows\System32\config\RegBack\SAM
0x000000001de2aa30      8      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\kernel32.dll
0x000000001e15a5c0     16      0 R--rwd \Device\HarddiskVolume2\Windows\SysWOW64\gdi32.dll
0x000000001e267070     16      0 R--rwd \Device\HarddiskVolume2\Windows\System32\kernel32.dll
0x000000001e267800     18      1 RW-r-- \Device\HarddiskVolume2\Windows\System32\winevt\Logs\Microsoft-Windows-Kernel-Power%4Thermal-Operational.evtx
0x000000001e267d40     16      0 R--r-- \Device\HarddiskVolume2\Windows\Prefetch\CMD.EXE-4A81B364.pf
0x000000001e401440     10      0 R--r-d \Device\HarddiskVolume2\Windows\System32\msvcrt.dll
0x000000001e419b50      1      1 ------ \Device\NamedPipe\srvsvc
0x000000001e452910     18      1 RW-r-- \Device\HarddiskVolume2\Windows\System32\winevt\Logs\Microsoft-Windows-Windows Firewall With Advanced Security%4ConnectionSecurity.evtx
0x000000001e45df20     12      0 R--r-d \Device\HarddiskVolume2\Windows\System32\imm32.dll
0x000000001e48bdc0     13      0 R--r-d \Device\HarddiskVolume2\Windows\System32\setupapi.dll
0x000000001e4d93f0     14      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\comdlg32.dll
