Volatility 3 Framework 1.0.1

Offset	Name	Size

0x2cf0160	\$Directory	128
0x2cf0558	\Windows\System32\LogFiles\WMI\RtBackup\EtwRTUBPM.etl	128
0x2cf06c8	\Windows\System32\wdi\LogFiles\WdiContextLog.etl.001	128
0x2cf0a08	\Windows\System32\LogFiles\WMI\RtBackup\EtwRTDiagLog.etl	128
0x2d00028	\Windows\System32\LogFiles\WMI\RtBackup\EtwRTEventlog-Security.etl	128
0x2d00378	\Windows\System32\LogFiles\WMI\RtBackup\EtwRTEventLog-System.etl	128
0x2d14028	\$Directory	128
0x2d141f8	\$Directory	128
0x2d1cf80	\Windows\System32\netutils.dll	128
0x2d1f9c0	\Windows\System32\wininit.exe	128
0x2d282e8	\Windows\Fonts\ega40850.fon	128
0x2d2a8a0	\Windows\Fonts\cga80850.fon	128
0x2d2a9c0	\Windows\Fonts\cga40850.fon	128
0x2d419e8	\$Directory	128
0x2d41f80	\Windows\Media\Windows Recycle.wav	128
0x2d424d0	\Windows\System32	128
0x2d425f0	\Windows\System32\audiosrv.dll	128
0x2d42d60	\Users\Daniel\AppData\Local\Microsoft\Windows\Explorer\thumbcache_96.db	128
0x2d436c0	\Windows\System32\fr-FR\svchost.exe.mui	128
0x2d44510	\Windows\System32	128
0x2d44c60	\Windows\System32\hid.dll	128
0x2d44d18	\Windows\System32\stobject.dll	128
0x38b3c201		-32257
0x3de02388	\Windows\inf\netip6.PNF	128
0x3de029f8	\Windows\System32\nci.dll	128
0x3de03240	\Windows\System32\BFE.DLL	128
0x3de03320	\Windows\System32\wbem\Performance\WmiApRpl.hew.h	128
0x3de03988	\Windows\System32\fr-FR\stobject.dll.mui	128
0x3de04200	\Windows\System32\fr-FR\mscms.dll.mui	128
0x3de052d0	\Windows\System32\fr-FR\KernelBase.dll.mui	128
0x3de05388	\Windows\Web\Wallpaper\Landscapes\Desktop.ini	128
0x3de058a8	\Windows\System32\diagperf.dll	128
0x3de06258	\ProgramData\Microsoft\Windows\Start Menu\Programs\Games\Desktop.ini	128
0x3de08038	\Windows\Fonts\simkai.ttf	128
0x3de09860	\Endpoint	128
0x3de0a270	\Windows\System32\api-ms-win-core-timezone-l1-1-0.dll	128
0x3de0a328	\Program Files\Mozilla Firefox\api-ms-win-crt-filesystem-l1-1-0.dll	128
0x3de0dcf8	\Windows\System32\seclogon.dll	128
0x3de0e578	\Windows\System32\fr-FR\samsrv.dll.mui	128
0x3de0e9f0	\Windows\System32\fr-FR\vsstrace.dll.mui	128
0x3de0eaa8	\Windows\System32\samcli.dll	128
0x3de0ec58	\Windows\System32\netapi32.dll	128
0x3de12270	\Windows\System32\fr-FR\FirewallAPI.dll.mui	128
0x3de226d0	\$Directory	128
0x3de22cc0	\Windows\Fonts\upcji.ttf	128
0x3de24038	\Windows\Fonts\gisha.ttf	128
0x3de25038	\$ConvertToNonresident	128
0x3de270d8	\Windows\Fonts\cour.ttf	128
0x3de30100	\Windows\Fonts\browau.ttf	128
0x3de33ba0	\Windows\System32\advapi32.dll	128
0x3de370d0	\Windows\Fonts\trado.ttf	128
0x3de39038	\Windows\Fonts\palai.ttf	128
0x3de40800	\ProgramData\Microsoft\Windows\Start Menu\desktop.ini	128
0x3de49440	\Windows\System32\srvcli.dll	128
0x3de49cd0	\ProgramData\Microsoft\Windows\Start Menu\Programs\Startup\desktop.ini	128
0x3de49f80	\Users\Daniel\AppData\Roaming\Mozilla\Firefox\Profiles\4alc5cmj.default-release\storage\ls-archive.sqlite	128
0x3de56520	\$Directory	128
0x3de58038	\Windows\Fonts\browai.ttf	128
0x3de5b0d0	\Windows\Fonts\mriamc.ttf	128
0x3de63700	\Program Files\Adobe\Acrobat Reader DC\Resource\Font\ZY______.PFB	128
0x3de67130	\Windows\Fonts\mriam.ttf	128
0x3de6d038	\Users\Daniel\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\User Pinned\TaskBar\desktop.ini	128
0x3de6eaa8	\Windows\System32\nsi.dll	128
0x3de72038	\Windows\System32\bcrypt.dll	128
0x3de754d8	\$Directory	128
0x3de75828	\Windows\System32\fr-FR\iphlpapi.dll.mui	128
0x3de7c038	\Windows\Fonts\browab.ttf	128
0x3de84d88	\Users\Daniel\AppData\Local\Mozilla\Firefox\Profiles\4alc5cmj.default-release\cache2\index	128
0x3de8a7c0	\Windows\Fonts\upcli.ttf	128
0x3de8c398	\Users\Daniel\AppData\Local\Mozilla\Firefox\Profiles\4alc5cmj.default-release\safebrowsing\social-tracking-protection-twitter-digest256.vlpset	128
0x3de8f2c0	\Windows\Fonts\upcib.ttf	128
0x3de99038	\lsass	128
0x3de99a18	\Windows\System32\fr-FR\KernelBase.dll.mui	128
0x3de9bc00	\Windows\System32\shlwapi.dll	128
0x3de9c540	\Windows\Fonts\upckb.ttf	128
0x3dea1d98	\Users\Daniel\AppData\Roaming\Mozilla\Firefox\Profiles\4alc5cmj.default-release\search.json.mozlz4	128
0x3dea2b40	\$Directory	128
0x3dea81a0	\Program Files\Adobe\Acrobat Reader DC\Reader\AGM.dll	128
0x3deab230	\Windows\Fonts\kartika.ttf	128
0x3deabba0	\Windows\Fonts\upcjl.ttf	128
0x3deb0480	\Windows\System32\oleaut32.dll	128
0x3deb21c8	\$Directory	128
0x3deb5130	\Windows\Fonts\lvnmbd.ttf	128
0x3deb7b38	\Program Files\Mozilla Firefox\nss3.dll	128
0x3deba330	\Users\Daniel\AppData\Roaming\Mozilla\Firefox\Profiles\4alc5cmj.default-release\storage\permanent\chrome\idb\2823318777ntouromlalnodry--naod.sqlite	128
0x3dec1a18	\Windows\Fonts\upcibi.ttf	128
0x3dec2038	\$Directory	128
0x3dec50e0	\Windows\Fonts\shruti.ttf	128
0x3decbb10	\Program Files\Mozilla Firefox\browser\features\screenshots@mozilla.org.xpi	128
0x3dfd9f80	\Windows\Fonts\upcfbi.ttf	128
0x3e0d2038	\Windows\System32\prncache.dll	128
0x3e0d27f8	\Windows\System32\rsaenh.dll	128
0x3e0d2cc8	\Windows\inf\netrast.PNF	128
0x3e0d3148	\$Directory	128
