Offset(P)            #Ptr   #Hnd Access Name
------------------ ------ ------ ------ ----
0x00008186812760a0     29      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x0000818681276380      7      0 R--r-- \Device\HarddiskVolume2\Windows\System32\ntdll.dll
0x00008186812777a0     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\crashdmp.sys
0x0000818681277910     33      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x0000818681277bf0     33      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x00008186812b5380     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\cimfs.sys
0x00008186812b5660     15      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\npfs.sys
0x00008186812b57d0     33      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x00008186812b5940  32784      1 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\fr-FR\ntfs.sys.mui
0x00008186812b5d90     10      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\null.sys
0x00008186812b61e0     22      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x00008186812b6bf0     11      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\dxgkrnl.sys
0x00008186812b6d60     28      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x00008186812b6ed0     15      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\watchdog.sys
0x00008186813254f0     25      0 RW-rwd \Device\HarddiskVolume2\$Extend\$Reparse:$R:$INDEX_ALLOCATION
0x0000818681325660     27      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x0000818681325ab0      8      0 R--r-- \Device\HarddiskVolume2\Windows\SysWOW64\ntdll.dll
0x0000818681325c20     13      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\cdrom.sys
0x0000818681326070     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\dumpfve.sys
0x0000818681326630     22      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x0000818681326910     15      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\tbs.sys
0x0000818681326ed0     14      0 R--r-d \Device\HarddiskVolume2\Windows\System32\DriverStore\FileRepository\basicrender.inf_amd64_ed345fdc37d65139\BasicRender.sys
0x0000818681403180  32765      1 ------ \Device\DeviceApi\Dev\Query
0x00008186814042b0     33      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x0000818681404c10      4      0 R--rwd \Device\HarddiskVolume2\Windows\SysWOW64\Wpc.dll
0x00008186814050c0  32794      1 RW-r-- \Device\HarddiskVolume2\Windows\System32\winevt\Logs\Microsoft-Windows-BitLocker%4BitLocker Management.evtx
0x0000818681405d40     32      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x00008186814074b0      6      0 R--r-d \Device\HarddiskVolume2\Windows\System32\windowsudk.shellcommon.dll
0x0000818681407e10  32784      1 R--r-d \Device\HarddiskVolume2\Windows\System32\fr-FR\smartscreen.exe.mui
0x000081868140b330  32768      1 R--rw- \Device\HarddiskVolume2\Windows
0x000081868140b4c0     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\wsp_sr.dll
0x0000818681410470     16      0 RWD--- \Device\HarddiskVolume2\ProgramData\Microsoft\Search\Data\Applications\Windows\Windows.jfm
0x0000818681417b30     13      0 R--r-d \Device\HarddiskVolume2\Windows\System32\wscproxystub.dll
0x0000818681417cc0      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\wcmapi.dll
0x0000818681417e50  32768      1 R--rw- \Device\HarddiskVolume2\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy
0x0000818681418940     10      0 R--r-d \Device\HarddiskVolume2\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartUI.dll
0x000081868141be60  32768      1 R--rw- \Device\HarddiskVolume2\Windows\System32
0x000081868141c950  32757      1 ------ \Device\Afd\Endpoint
0x000081868141e250  32768      1 R--r-d \Device\HarddiskVolume2\Windows\System32\fr-FR\dosvc.dll.mui
0x0000818681421770      3      0 R--r-d \Device\HarddiskVolume2\Windows\System32\usoapi.dll
0x0000818681422a30     11      0 R--r-d \Device\HarddiskVolume2\Windows\System32\SyncController.dll
0x00008186814239d0  32768      1 R--r-d \Device\HarddiskVolume2\Windows\System32\fr-FR\crypt32.dll.mui
0x0000818681423cf0  32768      1 R--rw- \Device\HarddiskVolume2\Windows\System32
0x0000818681424330      1      0 R--r-d \Device\HarddiskVolume2\Windows\System32\wbem\WmiPrvSE.exe
0x0000818681424650      1      1 -W-rw- \Device\HarddiskVolume2\Windows\Temp\chromium_installer.log
0x00008186814255f0  31127      1 RW-rw- \Device\HarddiskVolume2\ProgramData\Microsoft\Windows\AppRepository\StateRepository-Deployment.srd
0x000081868142a0f0      6      0 R--r-d \Device\HarddiskVolume2\Windows\System32\wbem\WmiPerfClass.dll
0x000081868142ce40  32768      1 ------ \Device\NamedPipe\Sessions\1\AppContainerNamedObjects\S-1-15-2-155514346-2573954481-755741238-1654018636-1233331829-3075935687-2861478708
0x0000818681430680      4      0 R--r-d \Device\HarddiskVolume2\Windows\System32\NgcCtnr.dll
0x0000818681431ad0  32764      1 RW---- \Device\HarddiskVolume2\Windows\System32\config\COMPONENTS
0x00008186814330b0  32760      1 RW---- \Device\HarddiskVolume2\Windows\System32\config\COMPONENTS.LOG1
0x0000818681433240  32768      1 R--r-d \Device\HarddiskVolume2\Windows\System32\fr-FR\mswsock.dll.mui
0x00008186814333d0  32766      1 R--rwd \Device\HarddiskVolume2\Windows\Fonts\segoeui.ttf
0x0000818681433560  20418      1 RW-rw- \Device\HarddiskVolume2\ProgramData\USOPrivate\UpdateStore\store.db
0x00008186814336f0      9      0 R--r-d \Device\HarddiskVolume2\Windows\System32\fontgroupsoverride.dll
0x0000818681433880  32768      1 ------ \Device\DeviceApi\CMNotify
0x0000818681433a10     15      0 R--r-- \Device\HarddiskVolume2\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.Windows.ShellExperienceHost_10.0.19041.1949_neutral_neutral_cw5n1h2txyewy\ActivationStore.dat
0x0000818681433ba0     33      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x0000818681433d30     25      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x0000818681433ec0      4      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x00008186814357c0      6      0 R--r-d \Device\HarddiskVolume2\Windows\ShellExperiences\QuickActions.dll
0x0000818681435ae0  32719      1 R--r-- \Device\HarddiskVolume2\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.Windows.ShellExperienceHost_10.0.19041.1949_neutral_neutral_cw5n1h2txyewy\ActivationStore.dat
0x00008186814f0210     28      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x00008186814f0380  32753      1 RW-rwd \Device\HarddiskVolume2\$Extend\$RmMetadata\$Txf:$I30:$INDEX_ALLOCATION
0x00008186814f0940      3      0 RW-rwd \Device\HarddiskVolume2\$Extend\$RmMetadata\$TxfLog\$Tops
0x00008186814f0ab0     14      0 R--r-d \Device\HarddiskVolume2\Windows\System32\DriverStore\FileRepository\basicdisplay.inf_amd64_fc93ae411c02f280\BasicDisplay.sys
