Volatility 3 Framework 2.0.1

Offset	Proto	LocalAddr	LocalPort	ForeignAddr	ForeignPort	State	PID	Owner	Created

0x8186882b3010	TCPv4	10.0.2.15	50067	93.184.221.240	80	ESTABLISHED	4852	svchost.exe	2023-04-17 17:24:12.000000 
0x818688796320	TCPv4	10.0.2.15	50076	23.52.250.184	443	ESTABLISHED	4852	svchost.exe	2023-04-17 17:24:22.000000 
0x818688515560	TCPv4	10.0.2.15	50055	23.52.250.184	443	ESTABLISHED	4852	svchost.exe	2023-04-17 17:24:07.000000 
0x818688796a20	TCPv4	10.0.2.15	50082	93.184.221.240	80	ESTABLISHED	4852	svchost.exe	2023-04-17 17:24:22.000000 
0x818688389010	TCPv4	10.0.2.15	50056	93.184.221.240	80	ESTABLISHED	4852	svchost.exe	2023-04-17 17:24:07.000000 
0x8186882a7a20	TCPv4	10.0.2.15	49836	192.168.1.106	443	CLOSE_WAIT	6808	brave.exe	2023-04-17 17:16:51.000000 
0x818688040b50	TCPv4	10.0.2.15	49807	20.199.120.151	443	ESTABLISHED	728	svchost.exe	2023-04-17 17:16:17.000000 
0x818684b27400	TCPv4	10.0.2.15	50066	23.52.250.184	443	ESTABLISHED	4852	svchost.exe	2023-04-17 17:24:12.000000 
0x818688d44050	TCPv4	10.0.2.15	50074	23.52.250.184	443	ESTABLISHED	4852	svchost.exe	2023-04-17 17:24:22.000000 
0x8186889fd010	TCPv4	10.0.2.15	50053	23.52.250.184	443	ESTABLISHED	4852	svchost.exe	2023-04-17 17:24:07.000000 
0x8186875d94b0	TCPv4	10.0.2.15	50077	93.184.221.240	80	ESTABLISHED	4852	svchost.exe	2023-04-17 17:24:22.000000 
0x8186887cba20	TCPv4	10.0.2.15	49850	20.199.120.151	443	ESTABLISHED	728	svchost.exe	2023-04-17 17:18:10.000000 
0x8186880c68a0	TCPv4	10.0.2.15	50087	23.52.250.184	443	ESTABLISHED	4852	svchost.exe	2023-04-17 17:24:37.000000 
0x818688554950	TCPv4	10.0.2.15	50059	93.184.221.240	80	ESTABLISHED	4852	svchost.exe	2023-04-17 17:24:08.000000 
0x8186882d9b50	TCPv4	10.0.2.15	50072	93.184.221.240	80	ESTABLISHED	4852	svchost.exe	2023-04-17 17:24:22.000000 
0x818688033620	TCPv4	10.0.2.15	50050	152.199.19.74	80	ESTABLISHED	1748	CompatTelRunne	2023-04-17 17:23:54.000000 
0x818687f9e010	TCPv4	10.0.2.15	50071	23.52.250.184	443	ESTABLISHED	4852	svchost.exe	2023-04-17 17:24:22.000000 
0x81868489d640	TCPv4	10.0.2.15	50089	93.184.221.240	80	ESTABLISHED	4852	svchost.exe	2023-04-17 17:24:37.000000 
0x8186880b8010	TCPv4	10.0.2.15	8080	10.0.2.2	43543	ESTABLISHED	3144	brave.exe	2023-04-17 17:18:48.000000 
0x8186880e8010	TCPv4	10.0.2.15	50051	192.229.221.95	80	ESTABLISHED	1748	CompatTelRunne	2023-04-17 17:23:54.000000 
0x818687755010	TCPv4	10.0.2.15	50058	23.52.250.184	443	ESTABLISHED	4852	svchost.exe	2023-04-17 17:24:08.000000 
0x818684f3fac0	TCPv4	10.0.2.15	50078	93.184.221.240	80	ESTABLISHED	4852	svchost.exe	2023-04-17 17:24:22.000000 
0x818686db6010	TCPv4	10.0.2.15	50075	95.100.85.138	80	ESTABLISHED	4852	svchost.exe	2023-04-17 17:24:22.000000 
0x818687fa6050	TCPv4	10.0.2.15	50088	23.52.250.184	443	ESTABLISHED	4852	svchost.exe	2023-04-17 17:24:37.000000 
0x818682fd5e90	TCPv4	0.0.0.0	135	0.0.0.0	0	LISTENING	948	svchost.exe	2023-04-16 21:46:22.000000 
0x818682fd5e90	TCPv6	::	135	::	0	LISTENING	948	svchost.exe	2023-04-16 21:46:22.000000 
0x818682fd5bd0	TCPv4	0.0.0.0	135	0.0.0.0	0	LISTENING	948	svchost.exe	2023-04-16 21:46:22.000000 
0x818684ae41b0	TCPv4	10.0.2.15	139	0.0.0.0	0	LISTENING	4	System	2023-04-17 17:16:09.000000 
0x818686fbfcb0	TCPv4	0.0.0.0	445	0.0.0.0	0	LISTENING	4	System	2023-04-16 21:46:57.000000 
0x818686fbfcb0	TCPv6	::	445	::	0	LISTENING	4	System	2023-04-16 21:46:57.000000 
