Name                                                  Pid   PPid   Thds   Hnds Time
-------------------------------------------------- ------ ------ ------ ------ ----
 0xffff818684da0080:wininit.exe                       572    464      3      0 2023-04-16 21:46:21 UTC+0000
. 0xffff818684d10080:lsass.exe                        716    572      9      0 2023-04-16 21:46:21 UTC+0000
. 0xffff818684d0a080:services.exe                     696    572      8      0 2023-04-16 21:46:21 UTC+0000
.. 0xffff81868714c240:svchost.exe                    2560    696     18      0 2023-04-16 21:46:57 UTC+0000
.. 0xffff818684fd5280:svchost.exe                       8    696     20      0 2023-04-16 21:46:22 UTC+0000
... 0xffff818687af1280:ctfmon.exe                    3552      8     12      0 2023-04-16 21:47:16 UTC+0000
.. 0xffff81868815d240:svchost.exe                    5720    696     16      0 2023-04-16 21:47:24 UTC+0000
.. 0xffff81868751d080:MsMpEng.exe                    7704    696     21      0 2023-04-16 21:47:59 UTC+0000
.. 0xffff818686e962c0:svchost.exe                    1740    696     12      0 2023-04-16 21:46:23 UTC+0000
... 0xffff818687431080:audiodg.exe                   7812   1740      8      0 2023-04-17 17:24:12 UTC+0000
.. 0xffff818688016080:svchost.exe                    7516    696      8      0 2023-04-17 17:24:50 UTC+0000
.. 0xffff818686f420c0:svchost.exe                    2128    696     12      0 2023-04-16 21:46:56 UTC+0000
.. 0xffff818686c222c0:svchost.exe                    1112    696     16      0 2023-04-16 21:46:22 UTC+0000
.. 0xffff818686c202c0:svchost.exe                    1120    696     12      0 2023-04-16 21:46:22 UTC+0000
.. 0xffff818686f4d2c0:svchost.exe                    1980    696      4      0 2023-04-16 21:46:56 UTC+0000
.. 0xffff81868743c240:svchost.exe                    1164    696     36      0 2023-04-16 21:47:00 UTC+0000
.. 0xffff818687de8080:svchost.exe                    7984    696      5      0 2023-04-17 17:18:48 UTC+0000
.. 0xffff8186876ec2c0:svchost.exe                    3272    696     13      0 2023-04-16 21:47:15 UTC+0000
.. 0xffff81868775a080:TrustedInstall                 6324    696      4      0 2023-04-17 17:22:37 UTC+0000
.. 0xffff818688521080:SecurityHealth                 6344    696     24      0 2023-04-16 21:47:34 UTC+0000
.. 0xffff818686f58300:svchost.exe                    2252    696      5      0 2023-04-16 21:46:57 UTC+0000
.. 0xffff818688205300:MicrosoftEdgeU                 6180    696      6      0 2023-04-16 21:47:32 UTC+0000
... 0xffff818687faf080:MicrosoftEdge_                6592   6180      1      0 2023-04-17 17:16:33 UTC+0000
.... 0xffff81868814b080:setup.exe                     620   6592      2      0 2023-04-17 17:16:33 UTC+0000
.. 0xffff8186870c3340:SgrmBroker.exe                 7920    696      7      0 2023-04-17 17:16:34 UTC+0000
.. 0xffff81868828d080:svchost.exe                     756    696      8      0 2023-04-16 21:47:29 UTC+0000
.. 0xffff818686cb12c0:svchost.exe                    1288    696     22      0 2023-04-16 21:46:23 UTC+0000
.. 0xffff818684fb8240:svchost.exe                     728    696     80      0 2023-04-16 21:46:22 UTC+0000
... 0xffff81868873f080:taskhostw.exe                 5252    728      3      0 2023-04-17 17:16:08 UTC+0000
... 0xffff8186876ed280:sihost.exe                    3208    728     10      0 2023-04-16 21:47:15 UTC+0000
.... 0xffff8186889f0080:msedge.exe                   7240   3208      0 ------ 2023-04-16 21:47:39 UTC+0000
... 0xffff818687716300:taskhostw.exe                 3292    728     10      0 2023-04-16 21:47:15 UTC+0000
... 0xffff818684cb0080:taskhostw.exe                 4860    728      8      0 2023-04-17 17:16:08 UTC+0000
... 0xffff81868871d080:CompatTelRunne                4900    728      1      0 2023-04-17 17:16:08 UTC+0000
.... 0xffff818688c86340:CompatTelRunne               1748   4900     14      0 2023-04-17 17:16:32 UTC+0000
.... 0xffff81868715e080:conhost.exe                  5564   4900      4      0 2023-04-17 17:16:11 UTC+0000
... 0xffff81868884f080:BraveUpdate.ex                3384    728      5      0 2023-04-17 17:16:06 UTC+0000
... 0xffff818687722300:MicrosoftEdgeU                3336    728      5      0 2023-04-16 21:47:15 UTC+0000
.... 0xffff8186882f12c0:MicrosoftEdgeU               5752   3336      6      0 2023-04-16 21:47:28 UTC+0000
.. 0xffff818684ad42c0:svchost.exe                    4392    696      6      0 2023-04-16 21:47:19 UTC+0000
.. 0xffff818686d9a2c0:svchost.exe                    1500    696     17      0 2023-04-16 21:46:23 UTC+0000
.. 0xffff818686cc4240:VBoxService.ex                 1328    696     12      0 2023-04-16 21:46:23 UTC+0000
.. 0xffff818686f19240:svchost.exe                    1848    696      6      0 2023-04-16 21:46:23 UTC+0000
.. 0xffff818684e15240:svchost.exe                     828    696     18      0 2023-04-16 21:46:21 UTC+0000
... 0xffff818687e3a080:SearchApp.exe                 5124    828     36      0 2023-04-16 21:47:22 UTC+0000
... 0xffff818688621340:dllhost.exe                   6664    828      6      0 2023-04-16 21:47:35 UTC+0000
... 0xffff8186884a7080:ShellExperienc                2120    828     14      0 2023-04-17 17:16:57 UTC+0000
... 0xffff81868740a080:WmiPrvSE.exe                  6832    828      4      0 2023-04-17 17:16:32 UTC+0000
... 0xffff818687dc6080:RuntimeBroker.                5316    828     11      0 2023-04-16 21:47:23 UTC+0000
... 0xffff818687c4f080:StartMenuExper                4812    828     13      0 2023-04-16 21:47:21 UTC+0000
... 0xffff818684b4e080:SecurityHealth                1752    828      1      0 2023-04-16 21:48:25 UTC+0000
... 0xffff8186889ce080:ApplicationFra                6868    828      3      0 2023-04-16 21:47:37 UTC+0000
... 0xffff81868871f080:RuntimeBroker.                3860    828      3      0 2023-04-17 17:16:57 UTC+0000
... 0xffff818688f0a080:TiWorker.exe                  1668    828      3      0 2023-04-17 17:22:38 UTC+0000
... 0xffff8186886cc080:smartscreen.ex                2328    828      8      0 2023-04-17 17:21:29 UTC+0000
... 0xffff818688531080:TextInputHost.                6448    828     10      0 2023-04-16 21:47:34 UTC+0000
... 0xffff818684b242c0:RuntimeBroker.                1344    828      2      0 2023-04-16 21:47:30 UTC+0000
... 0xffff818687dc5280:MoUsoCoreWorke                3408    828     13      0 2023-04-16 21:47:22 UTC+0000
... 0xffff818681340080:dllhost.exe                   8056    828      5      0 2023-04-17 17:16:15 UTC+0000
... 0xffff818688d4d300:SecHealthUI.ex                7572    828     26      0 2023-04-16 21:47:49 UTC+0000
... 0xffff818684cb1080:WmiPrvSE.exe                  4476    828     11      0 2023-04-17 17:24:05 UTC+0000
... 0xffff81868835a300:SecurityHealth                7564    828      1      0 2023-04-16 21:47:49 UTC+0000
... 0xffff818687d942c0:RuntimeBroker.                5084    828      5      0 2023-04-16 21:47:22 UTC+0000
.. 0xffff8186875e0300:svchost.exe                    3724    696      7      0 2023-04-16 21:47:04 UTC+0000
.. 0xffff8186870bd240:svchost.exe                    2380    696     16      0 2023-04-16 21:46:57 UTC+0000
.. 0xffff818686f1c080:spoolsv.exe                     860    696     12      0 2023-04-16 21:46:56 UTC+0000
.. 0xffff818688975080:BraveUpdate.ex                 1428    696      7      0 2023-04-17 17:16:41 UTC+0000
... 0xffff81868189a340:brave_installe                5588   1428      1      0 2023-04-17 17:17:45 UTC+0000
.... 0xffff81867fc69080:setup.exe                    6936   5588      1      0 2023-04-17 17:17:46 UTC+0000
..... 0xffff818684d4c080:setup.exe                   7304   6936      6      0 2023-04-17 17:17:46 UTC+0000
.. 0xffff818684b4d080:svchost.exe                    7576    696     11      0 2023-04-17 17:16:51 UTC+0000
.. 0xffff81868893f080:sppsvc.exe                     7088    696     11      0 2023-04-17 17:24:10 UTC+0000
.. 0xffff818684ec92c0:svchost.exe                     948    696     11      0 2023-04-16 21:46:22 UTC+0000
.. 0xffff818687d0d2c0:svchost.exe                    4852    696     17      0 2023-04-16 21:47:21 UTC+0000
.. 0xffff81867fc80080:svchost.exe                    1992    696      7      0 2023-04-16 21:46:56 UTC+0000
.. 0xffff818687959240:SearchIndexer.                 4568    696     15      0 2023-04-16 21:47:20 UTC+0000
... 0xffff81868829f080:SearchFilterHo                 800   4568      6      0 2023-04-17 17:24:32 UTC+0000
... 0xffff818688636080:SearchProtocol                7684   4568      6      0 2023-04-17 17:22:28 UTC+0000
